START            STOP

STANDARD
1615001362652 1615001368299
1615001424866 1615001430302
1615001430306 1615001435543
1615001435549 1615001440806
1615001440812 1615001446334
1615001446339 1615001451372
1615001451378 1615001456381
1615001456385 1615001461510
1615001461517 1615001467670
1615001467675 1615001473055

RESIDUE
1615001883757 1615001888779
1615001888799 1615001893743
1615001893766 1615001898493
1615001898514 1615001903259
1615001903283 1615001908033
1615001908052 1615001912621
1615001912643 1615001917624
1615001917645 1615001922564
1615001922588 1615001927642
1615001927660 1615001932456
