START STOP

STANDARD
1614997280041 1614997292601
1614997340921 1614997353427
1614997353430 1614997366047
1614997366050 1614997378554
1614997378557 1614997391559
1614997391563 1614997404013
1614997404016 1614997416859
1614997416862 1614997429352
1614997429355 1614997441850
1614997441853 1614997454334

RESIDUE
1614997720251 1614997741828
1614997741851 1614997761286
1614997761307 1614997780827
1614997780852 1614997800411
1614997800434 1614997820014
1614997820043 1614997839583
1614997839605 1614997859232
1614997859258 1614997878761
1614997878784 1614997898307
1614997898327 1614997917687
